rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.173,0.2683,0.355,2023-06-21,0,1,35,Blue
2,0.1896,0.2204,0.14,2023-06-21,0,1,35,Blue
3,0.1427,0.1662,0.141,2023-06-21,0,1,35,Blue
4,0.1921,0.2175,0.117,2023-06-21,0,1,35,Blue
5,0.1647,0.1891,0.129,2023-06-21,0,1,35,Blue
6,0.1232,0.1867,0.34,2023-06-21,0,1,35,Blue
7,0.1383,0.1975,0.3,2023-06-21,0,1,35,Blue
1,0.1373,0.2644,0.481,2023-06-21,0,10,32,Yellow
2,0.1349,0.2527,0.466,2023-06-21,0,10,32,Yellow
3,0.1623,0.2551,0.364,2023-06-21,0,10,32,Yellow
4,0.1334,0.2581,0.483,2023-06-21,0,10,32,Yellow
5,0.1305,0.2507,0.48,2023-06-21,0,10,32,Yellow
6,0.1344,0.26,0.483,2023-06-21,0,10,32,Yellow
7,0.1564,0.2864,0.454,2023-06-21,0,10,32,Yellow
8,0.1158,0.2234,0.481,2023-06-21,0,10,32,Yellow
1,0.1525,0.3006,0.493,2023-06-21,0,11,32,Blue
2,0.1667,0.2928,0.431,2023-06-21,0,11,32,Blue
3,0.1393,0.2605,0.465,2023-06-21,0,11,32,Blue
4,0.1696,0.3289,0.484,2023-06-21,0,11,32,Blue
5,0.1603,0.303,0.471,2023-06-21,0,11,32,Blue
6,0.1285,0.2551,0.496,2023-06-21,0,11,32,Blue
7,0.13,0.2551,0.49,2023-06-21,0,11,32,Blue
1,0.1593,0.2986,0.466,2023-06-21,0,12,32,Florida
2,0.1852,0.3343,0.446,2023-06-21,0,12,32,Florida
3,0.1608,0.2977,0.46,2023-06-21,0,12,32,Florida
4,0.15,0.2732,0.451,2023-06-21,0,12,32,Florida
5,0.154,0.2874,0.464,2023-06-21,0,12,32,Florida
6,0.1466,0.2727,0.462,2023-06-21,0,12,32,Florida
7,0.1417,0.2766,0.488,2023-06-21,0,12,32,Florida
1,0.0591,0.0591,0,2023-06-21,0,13,38,Orange
2,0.0606,0.0601,0,2023-06-21,0,13,38,Orange
3,0.0679,0.0679,0,2023-06-21,0,13,38,Orange
4,0.1369,0.1334,0,2023-06-21,0,13,38,Orange
5,0.0865,0.0885,0,2023-06-21,0,13,38,Orange
6,0.1217,0.1178,0,2023-06-21,0,13,38,Orange
7,0.0787,0.0787,0,2023-06-21,0,13,38,Orange
8,0.0572,0.0591,0,2023-06-21,0,13,38,Orange
1,0.0337,0.0327,0,2023-06-21,0,14,38,Yellow
2,0.0582,0.0577,0,2023-06-21,0,14,38,Yellow
3,0.0899,0.0894,0,2023-06-21,0,14,38,Yellow
4,0.0924,0.0943,0,2023-06-21,0,14,38,Yellow
5,0.0479,0.0503,0,2023-06-21,0,14,38,Yellow
