rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.1129,0.2493,0.547,2023-06-26,0,1,30,Pink
2,0.1486,0.3157,0.529,2023-06-26,0,1,30,Pink
3,0.1491,0.3495,0.573,2023-06-26,0,1,30,Pink
4,0.1598,0.3514,0.545,2023-06-26,0,1,30,Pink
5,0.1427,0.3094,0.539,2023-06-26,0,1,30,Pink
6,0.1554,0.3397,0.542,2023-06-26,0,1,30,Pink
7,0.1398,0.3167,0.559,2023-06-26,0,1,30,Pink
8,0.1393,0.3152,0.558,2023-06-26,0,1,30,Pink
1,0.042,0.043,0,2023-06-26,0,10,38,Orange
2,0.0753,0.0777,0,2023-06-26,0,10,38,Orange
3,0.1935,0.2019,0.041,2023-06-26,0,10,38,Orange
4,0.085,0.0875,0,2023-06-26,0,10,38,Orange
5,0.1065,0.1183,0.099,2023-06-26,0,10,38,Orange
6,0.0401,0.0415,0,2023-06-26,0,10,38,Orange
7,0.0943,0.0997,0.054,2023-06-26,0,10,38,Orange
8,0.0626,0.0679,0.079,2023-06-26,0,10,38,Orange
1,0.0376,0.0396,0,2023-06-26,0,11,38,Yellow
2,0.0992,0.1017,0,2023-06-26,0,11,38,Yellow
3,0.2141,0.2195,0.024,2023-06-26,0,11,38,Yellow
4,0.0684,0.0748,0.085,2023-06-26,0,11,38,Yellow
5,0.3148,0.3372,0.067,2023-06-26,0,11,38,Yellow
6,0.0455,0.0474,0,2023-06-26,0,11,38,Yellow
7,0.1114,0.1222,0.088,2023-06-26,0,11,38,Yellow
1,0.065,0.0709,0.083,2023-06-26,0,12,38,Blue
2,0.2493,0.2703,0.078,2023-06-26,0,12,38,Blue
3,0.0459,0.0494,0,2023-06-26,0,12,38,Blue
4,0.2581,0.2737,0.057,2023-06-26,0,12,38,Blue
5,0.1144,0.1251,0.086,2023-06-26,0,12,38,Blue
6,0.0582,0.0635,0.085,2023-06-26,0,12,38,Blue
