rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
1,0.1285,0.216,0.405,2023-06-26,0,24,35,Blue,1
4,0.1266,0.194,0.348,2023-06-26,0,21,35,Pink,2
6,0.1183,0.1813,0.348,2023-06-26,0,23,35,Yellow,3
3,0.1417,0.217,0.347,2023-06-26,0,24,35,Blue,4
4,0.1373,0.2072,0.337,2023-06-26,0,24,35,Blue,5
6,0.1496,0.2248,0.335,2023-06-26,0,22,35,Orange,6
3,0.1217,0.1818,0.331,2023-06-26,0,21,35,Pink,7
8,0.129,0.1926,0.33,2023-06-26,0,21,35,Pink,8
1,0.1222,0.1823,0.33,2023-06-26,0,23,35,Yellow,9
1,0.1325,0.1911,0.307,2023-06-26,0,22,35,Orange,10
4,0.1251,0.1774,0.295,2023-06-26,0,23,35,Yellow,11
7,0.1447,0.2043,0.292,2023-06-26,0,24,35,Blue,12
5,0.1476,0.2033,0.274,2023-06-26,0,21,35,Pink,13
5,0.1491,0.2043,0.27,2023-06-26,0,23,35,Yellow,14
2,0.107,0.1452,0.263,2023-06-26,0,24,35,Blue,15
2,0.1246,0.1686,0.261,2023-06-26,0,23,35,Yellow,16
5,0.1364,0.1843,0.26,2023-06-26,0,22,35,Orange,17
6,0.1417,0.1911,0.258,2023-06-26,0,24,35,Blue,18
7,0.153,0.2058,0.257,2023-06-26,0,23,35,Yellow,19
5,0.1466,0.197,0.256,2023-06-26,0,24,35,Blue,20
2,0.1334,0.1774,0.248,2023-06-26,0,21,35,Pink,21
3,0.1276,0.1691,0.246,2023-06-26,0,23,35,Yellow,22
7,0.1686,0.219,0.23,2023-06-26,0,22,35,Orange,23
7,0.131,0.1686,0.223,2023-06-26,0,21,35,Pink,24
3,0.1647,0.2067,0.203,2023-06-26,0,22,35,Orange,25
4,0.1784,0.2229,0.2,2023-06-26,0,22,35,Orange,26
2,0.1437,0.1794,0.199,2023-06-26,0,22,35,Orange,27
1,0.1593,0.197,0.191,2023-06-26,0,21,35,Pink,28
6,0.1178,0.1447,0.186,2023-06-26,0,21,35,Pink,29
8,0.1784,0.2116,0.157,2023-06-26,0,22,35,Orange,30
