rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
5,0.1676,0.2903,0.423,2023-06-21,0,2,35,Florida,1
7,0.1339,0.2111,0.366,2023-06-21,0,2,35,Florida,2
6,0.1369,0.2146,0.362,2023-06-21,0,2,35,Florida,3
1,0.173,0.2683,0.355,2023-06-21,0,1,35,Blue,4
6,0.1232,0.1867,0.34,2023-06-21,0,1,35,Blue,5
7,0.1383,0.1975,0.3,2023-06-21,0,1,35,Blue,6
1,0.1647,0.2341,0.296,2023-06-21,0,3,35,orange,7
2,0.1515,0.2131,0.289,2023-06-21,0,4,35,Yellow,8
2,0.1848,0.2517,0.266,2023-06-21,0,2,35,Florida,9
8,0.1588,0.2121,0.251,2023-06-21,0,3,35,orange,10
1,0.151,0.2014,0.25,2023-06-21,0,4,35,Yellow,11
5,0.1657,0.2121,0.219,2023-06-21,0,4,35,Yellow,12
2,0.1271,0.1608,0.21,2023-06-21,0,3,35,orange,13
7,0.1725,0.2185,0.21,2023-06-21,0,4,35,Yellow,14
4,0.1325,0.1672,0.208,2023-06-21,0,2,35,Florida,15
1,0.1632,0.2048,0.203,2023-06-21,0,2,35,Florida,16
3,0.1818,0.2263,0.197,2023-06-21,0,2,35,Florida,17
4,0.1823,0.2239,0.186,2023-06-21,0,3,35,orange,18
3,0.1745,0.2121,0.177,2023-06-21,0,3,35,orange,19
6,0.1417,0.1711,0.171,2023-06-21,0,3,35,orange,20
3,0.1672,0.1975,0.153,2023-06-21,0,4,35,Yellow,21
7,0.1794,0.2116,0.152,2023-06-21,0,3,35,orange,22
3,0.1427,0.1662,0.141,2023-06-21,0,1,35,Blue,23
2,0.1896,0.2204,0.14,2023-06-21,0,1,35,Blue,24
8,0.1716,0.1994,0.14,2023-06-21,0,4,35,Yellow,25
5,0.1647,0.1891,0.129,2023-06-21,0,1,35,Blue,26
5,0.1794,0.2033,0.118,2023-06-21,0,3,35,orange,27
4,0.1921,0.2175,0.117,2023-06-21,0,1,35,Blue,28
4,0.2019,0.2248,0.102,2023-06-21,0,4,35,Yellow,29
6,0.2009,0.2234,0.101,2023-06-21,0,4,35,Yellow,30
