rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
5,0.1403,0.2859,0.509,2023-06-27,0,24,35,Blue,1
2,0.1505,0.2942,0.488,2023-06-27,0,23,35,Yellow,2
3,0.1623,0.3065,0.47,2023-06-27,0,21,35,Pink,3
7,0.1398,0.2532,0.448,2023-06-27,0,22,35,Orange,4
8,0.1481,0.2639,0.439,2023-06-27,0,22,35,Orange,5
2,0.1344,0.238,0.435,2023-06-27,0,21,35,Pink,6
6,0.1588,0.2742,0.421,2023-06-27,0,22,35,Orange,7
3,0.1686,0.2893,0.417,2023-06-27,0,22,35,Orange,8
1,0.1486,0.2522,0.411,2023-06-27,0,21,35,Pink,9
4,0.1676,0.2815,0.405,2023-06-27,0,23,35,Yellow,10
1,0.1515,0.2522,0.399,2023-06-27,0,23,35,Yellow,11
4,0.1813,0.2972,0.39,2023-06-27,0,22,35,Orange,12
5,0.1701,0.2781,0.388,2023-06-27,0,22,35,Orange,13
7,0.1457,0.2375,0.387,2023-06-27,0,23,35,Yellow,14
7,0.15,0.24,0.375,2023-06-27,0,24,35,Blue,15
7,0.1481,0.2322,0.362,2023-06-27,0,21,35,Pink,16
1,0.1295,0.2028,0.361,2023-06-27,0,24,35,Blue,17
2,0.1334,0.2087,0.361,2023-06-27,0,24,35,Blue,18
6,0.1725,0.2683,0.357,2023-06-27,0,21,35,Pink,19
3,0.1466,0.2273,0.355,2023-06-27,0,24,35,Blue,20
5,0.1632,0.2488,0.344,2023-06-27,0,21,35,Pink,21
6,0.1535,0.2204,0.304,2023-06-27,0,24,35,Blue,22
2,0.1584,0.219,0.277,2023-06-27,0,22,35,Orange,23
8,0.1632,0.2239,0.271,2023-06-27,0,21,35,Pink,24
4,0.1882,0.2561,0.265,2023-06-27,0,24,35,Blue,25
5,0.1593,0.216,0.262,2023-06-27,0,23,35,Yellow,26
1,0.1779,0.2351,0.243,2023-06-27,0,22,35,Orange,27
3,0.175,0.2297,0.238,2023-06-27,0,23,35,Yellow,28
4,0.2092,0.263,0.204,2023-06-27,0,21,35,Pink,29
6,0.1921,0.2302,0.166,2023-06-27,0,23,35,Yellow,30
