rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
4,0.1383,0.239,0.421,2023-06-24,0,23,35,Yellow,1
3,0.1163,0.1804,0.355,2023-06-24,0,23,35,Yellow,2
5,0.1339,0.2043,0.344,2023-06-24,0,22,35,Orange,3
5,0.1295,0.196,0.339,2023-06-24,0,23,35,Yellow,4
1,0.1339,0.197,0.32,2023-06-24,0,23,35,Yellow,5
1,0.1315,0.1862,0.294,2023-06-24,0,24,35,Blue,6
6,0.1149,0.1569,0.268,2023-06-24,0,22,35,Orange,7
8,0.1241,0.1667,0.255,2023-06-24,0,22,35,Orange,8
4,0.1466,0.1955,0.25,2023-06-24,0,24,35,Blue,9
2,0.1447,0.1906,0.241,2023-06-24,0,23,35,Yellow,10
3,0.1349,0.1769,0.238,2023-06-24,0,22,35,Orange,11
4,0.1486,0.1935,0.232,2023-06-24,0,22,35,Orange,12
7,0.1266,0.1642,0.229,2023-06-24,0,21,35,Pink,13
6,0.1158,0.1466,0.21,2023-06-24,0,23,35,Yellow,14
6,0.1276,0.1608,0.207,2023-06-24,0,21,35,Pink,15
7,0.1432,0.1794,0.202,2023-06-24,0,22,35,Orange,16
2,0.1398,0.175,0.201,2023-06-24,0,21,35,Pink,17
3,0.151,0.1887,0.199,2023-06-24,0,24,35,Blue,18
2,0.1388,0.1725,0.195,2023-06-24,0,24,35,Blue,19
2,0.1251,0.1549,0.192,2023-06-24,0,22,35,Orange,20
1,0.1505,0.1833,0.179,2023-06-24,0,22,35,Orange,21
8,0.1329,0.1608,0.173,2023-06-24,0,21,35,Pink,22
4,0.1339,0.1608,0.167,2023-06-24,0,21,35,Pink,23
1,0.1481,0.1716,0.137,2023-06-24,0,21,35,Pink,24
3,0.1637,0.1896,0.137,2023-06-24,0,21,35,Pink,25
5,0.1603,0.1745,0.081,2023-06-24,0,21,35,Pink,26
