rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.173,0.175,0,2023-06-20,0,1,38,Orange
2,0.1398,0.1466,0.047,2023-06-20,0,1,38,Orange
3,0.1931,0.1994,0.032,2023-06-20,0,1,38,Orange
4,0.1276,0.1276,0,2023-06-20,0,1,38,Orange
5,0.2087,0.2121,0,2023-06-20,0,1,38,Orange
6,0.087,0.087,0,2023-06-20,0,1,38,Orange
7,0.2566,0.2561,0,2023-06-20,0,1,38,Orange
8,0.1065,0.1065,0,2023-06-20,0,1,38,Orange
9,0.0513,0.0528,0,2023-06-20,0,1,38,Orange
10,0.0523,0.0538,0,2023-06-20,0,1,38,Orange
11,0.0753,0.0787,0,2023-06-20,0,1,38,Orange
12,0.0611,0.0596,0,2023-06-20,0,1,38,Orange
13,0.2033,0.2058,0,2023-06-20,0,1,38,Orange
14,0.0435,0.042,0,2023-06-20,0,1,38,Orange
15,0.2669,0.2659,0,2023-06-20,0,1,38,Orange
16,0.044,0.044,0,2023-06-20,0,1,38,Orange
1,0.1364,0.1652,0.175,2023-06-20,0,10,35,Orange
2,0.1413,0.1877,0.247,2023-06-20,0,10,35,Orange
3,0.1398,0.1784,0.216,2023-06-20,0,10,35,Orange
4,0.1623,0.2014,0.194,2023-06-20,0,10,35,Orange
5,0.1608,0.24,0.33,2023-06-20,0,10,35,Orange
6,0.1427,0.2126,0.329,2023-06-20,0,10,35,Orange
7,0.174,0.2224,0.218,2023-06-20,0,10,35,Orange
8,0.1471,0.1965,0.251,2023-06-20,0,10,35,Orange
9,0.1359,0.1618,0.16,2023-06-20,0,10,35,Orange
10,0.1398,0.1813,0.229,2023-06-20,0,10,35,Orange
11,0.1388,0.1711,0.189,2023-06-20,0,10,35,Orange
12,0.1588,0.1931,0.177,2023-06-20,0,10,35,Orange
13,0.1755,0.2527,0.306,2023-06-20,0,10,35,Orange
14,0.1339,0.2014,0.335,2023-06-20,0,10,35,Orange
15,0.1769,0.2253,0.215,2023-06-20,0,10,35,Orange
16,0.1378,0.176,0.217,2023-06-20,0,10,35,Orange
1,0.1285,0.1774,0.275,2023-06-20,0,11,35,Blue
2,0.131,0.1764,0.258,2023-06-20,0,11,35,Blue
3,0.1305,0.1808,0.278,2023-06-20,0,11,35,Blue
4,0.1491,0.1935,0.23,2023-06-20,0,11,35,Blue
5,0.1686,0.2028,0.169,2023-06-20,0,11,35,Blue
6,0.15,0.1818,0.175,2023-06-20,0,11,35,Blue
7,0.1437,0.197,0.27,2023-06-20,0,11,35,Blue
8,0.152,0.1916,0.207,2023-06-20,0,11,35,Blue
9,0.1256,0.173,0.274,2023-06-20,0,11,35,Blue
10,0.1486,0.1906,0.221,2023-06-20,0,11,35,Blue
11,0.1628,0.195,0.165,2023-06-20,0,11,35,Blue
12,0.1662,0.194,0.144,2023-06-20,0,11,35,Blue
1,0.1574,0.2375,0.337,2023-06-20,0,12,35,Pink
2,0.1344,0.174,0.228,2023-06-20,0,12,35,Pink
3,0.129,0.172,0.25,2023-06-20,0,12,35,Pink
4,0.1408,0.1862,0.244,2023-06-20,0,12,35,Pink
5,0.1535,0.2141,0.283,2023-06-20,0,12,35,Pink
6,0.1769,0.2356,0.249,2023-06-20,0,12,35,Pink
7,0.1593,0.2014,0.209,2023-06-20,0,12,35,Pink
8,0.1457,0.194,0.249,2023-06-20,0,12,35,Pink
9,0.1667,0.2493,0.331,2023-06-20,0,12,35,Pink
10,0.1349,0.1657,0.186,2023-06-20,0,12,35,Pink
11,0.1427,0.1906,0.251,2023-06-20,0,12,35,Pink
12,0.1452,0.1877,0.227,2023-06-20,0,12,35,Pink
13,0.1329,0.1872,0.29,2023-06-20,0,12,35,Pink
14,0.1637,0.2248,0.272,2023-06-20,0,12,35,Pink
15,0.1598,0.195,0.18,2023-06-20,0,12,35,Pink
16,0.1588,0.1931,0.177,2023-06-20,0,12,35,Pink
1,0.1452,0.2356,0.384,2023-06-20,0,13,34,Orange
2,0.1422,0.2463,0.423,2023-06-20,0,13,34,Orange
3,0.1452,0.2644,0.451,2023-06-20,0,13,34,Orange
4,0.1549,0.2835,0.453,2023-06-20,0,13,34,Orange
5,0.1632,0.2722,0.4,2023-06-20,0,13,34,Orange
6,0.1285,0.2302,0.442,2023-06-20,0,13,34,Orange
7,0.1613,0.2512,0.358,2023-06-20,0,13,34,Orange
8,0.1437,0.2654,0.459,2023-06-20,0,13,34,Orange
9,0.1564,0.2478,0.369,2023-06-20,0,13,34,Orange
10,0.1339,0.2326,0.424,2023-06-20,0,13,34,Orange
11,0.1408,0.2527,0.443,2023-06-20,0,13,34,Orange
12,0.1476,0.2727,0.459,2023-06-20,0,13,34,Orange
13,0.174,0.2796,0.378,2023-06-20,0,13,34,Orange
14,0.1471,0.2664,0.448,2023-06-20,0,13,34,Orange
15,0.1711,0.2556,0.331,2023-06-20,0,13,34,Orange
16,0.1403,0.2493,0.437,2023-06-20,0,13,34,Orange
1,0.1413,0.26,0.457,2023-06-20,0,14,34,Blue
2,0.1359,0.2375,0.428,2023-06-20,0,14,34,Blue
3,0.129,0.2287,0.436,2023-06-20,0,14,34,Blue
4,0.1608,0.2747,0.415,2023-06-20,0,14,34,Blue
5,0.1711,0.2986,0.427,2023-06-20,0,14,34,Blue
6,0.1843,0.2791,0.34,2023-06-20,0,14,34,Blue
7,0.1378,0.2532,0.456,2023-06-20,0,14,34,Blue
8,0.1432,0.2483,0.423,2023-06-20,0,14,34,Blue
9,0.1325,0.2375,0.442,2023-06-20,0,14,34,Blue
10,0.1481,0.2502,0.408,2023-06-20,0,14,34,Blue
11,0.15,0.26,0.423,2023-06-20,0,14,34,Blue
12,0.1632,0.2483,0.343,2023-06-20,0,14,34,Blue
1,0.1628,0.2674,0.391,2023-06-20,0,15,34,Pink
2,0.1315,0.2287,0.425,2023-06-20,0,15,34,Pink
3,0.1197,0.218,0.451,2023-06-20,0,15,34,Pink
4,0.1642,0.2874,0.429,2023-06-20,0,15,34,Pink
5,0.152,0.2742,0.446,2023-06-20,0,15,34,Pink
6,0.172,0.306,0.438,2023-06-20,0,15,34,Pink
7,0.1637,0.2874,0.43,2023-06-20,0,15,34,Pink
8,0.1491,0.2507,0.405,2023-06-20,0,15,34,Pink
9,0.1794,0.2801,0.36,2023-06-20,0,15,34,Pink
10,0.1447,0.2463,0.413,2023-06-20,0,15,34,Pink
11,0.1178,0.2102,0.44,2023-06-20,0,15,34,Pink
12,0.154,0.2649,0.419,2023-06-20,0,15,34,Pink
13,0.1515,0.2727,0.444,2023-06-20,0,15,34,Pink
14,0.1491,0.2644,0.436,2023-06-20,0,15,34,Pink
15,0.1672,0.2942,0.432,2023-06-20,0,15,34,Pink
16,0.1544,0.2713,0.431,2023-06-20,0,15,34,Pink
1,0.15,0.2942,0.49,2023-06-20,0,16,33,Orange
2,0.1471,0.2801,0.475,2023-06-20,0,16,33,Orange
3,0.1383,0.2532,0.454,2023-06-20,0,16,33,Orange
4,0.1388,0.2884,0.519,2023-06-20,0,16,33,Orange
5,0.1569,0.3094,0.493,2023-06-20,0,16,33,Orange
6,0.1452,0.2859,0.492,2023-06-20,0,16,33,Orange
7,0.1349,0.2659,0.493,2023-06-20,0,16,33,Orange
8,0.1344,0.2586,0.48,2023-06-20,0,16,33,Orange
9,0.1432,0.2761,0.481,2023-06-20,0,16,33,Orange
10,0.1241,0.2322,0.465,2023-06-20,0,16,33,Orange
11,0.1266,0.2175,0.418,2023-06-20,0,16,33,Orange
12,0.132,0.2674,0.506,2023-06-20,0,16,33,Orange
13,0.151,0.2898,0.479,2023-06-20,0,16,33,Orange
14,0.1373,0.2708,0.493,2023-06-20,0,16,33,Orange
15,0.1422,0.2742,0.481,2023-06-20,0,16,33,Orange
16,0.1315,0.2498,0.474,2023-06-20,0,16,33,Orange
1,0.1476,0.2903,0.492,2023-06-20,0,17,33,Blue
2,0.1549,0.2898,0.465,2023-06-20,0,17,33,Blue
3,0.1325,0.2722,0.513,2023-06-20,0,17,33,Blue
4,0.1535,0.3079,0.502,2023-06-20,0,17,33,Blue
5,0.1628,0.3157,0.485,2023-06-20,0,17,33,Blue
6,0.1285,0.2546,0.495,2023-06-20,0,17,33,Blue
7,0.1261,0.2493,0.494,2023-06-20,0,17,33,Blue
8,0.1486,0.2703,0.45,2023-06-20,0,17,33,Blue
9,0.1256,0.2444,0.486,2023-06-20,0,17,33,Blue
