rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.1789,0.3304,0.459,2023-06-24,0,1,30,Pink
2,0.1681,0.2913,0.423,2023-06-24,0,1,30,Pink
3,0.1657,0.3529,0.53,2023-06-24,0,1,30,Pink
4,0.1774,0.3617,0.509,2023-06-24,0,1,30,Pink
5,0.1896,0.391,0.515,2023-06-24,0,1,30,Pink
6,0.1911,0.3954,0.517,2023-06-24,0,1,30,Pink
7,0.1911,0.3856,0.504,2023-06-24,0,1,30,Pink
8,0.1642,0.3358,0.511,2023-06-24,0,1,30,Pink
1,0.1256,0.1437,0.126,2023-06-24,0,10,38,Orange
2,0.1022,0.1119,0.087,2023-06-24,0,10,38,Orange
3,0.1129,0.1188,0.049,2023-06-24,0,10,38,Orange
4,0.2556,0.2625,0.026,2023-06-24,0,10,38,Orange
5,0.3152,0.3382,0.068,2023-06-24,0,10,38,Orange
6,0.087,0.089,0,2023-06-24,0,10,38,Orange
7,0.2419,0.2507,0.035,2023-06-24,0,10,38,Orange
8,0.3055,0.3162,0.034,2023-06-24,0,10,38,Orange
1,0.1012,0.1105,0.084,2023-06-24,0,11,38,Yellow
2,0.0865,0.0924,0.063,2023-06-24,0,11,38,Yellow
3,0.0704,0.0723,0,2023-06-24,0,11,38,Yellow
4,0.0909,0.0943,0,2023-06-24,0,11,38,Yellow
5,0.0547,0.0587,0,2023-06-24,0,11,38,Yellow
6,0.0401,0.0401,0,2023-06-24,0,11,38,Yellow
1,0.0787,0.0816,0,2023-06-24,0,12,38,Blue
2,0.109,0.1124,0,2023-06-24,0,12,38,Blue
3,0.1486,0.15,0,2023-06-24,0,12,38,Blue
4,0.0704,0.0743,0,2023-06-24,0,12,38,Blue
1,0.2033,0.2072,0,2023-06-24,0,13,37,Pink
2,0.1281,0.1383,0.074,2023-06-24,0,13,37,Pink
3,0.1794,0.1882,0.047,2023-06-24,0,13,37,Pink
4,0.2185,0.2297,0.049,2023-06-24,0,13,37,Pink
5,0.109,0.1158,0.059,2023-06-24,0,13,37,Pink
6,0.1549,0.1608,0.036,2023-06-24,0,13,37,Pink
7,0.1887,0.1965,0.04,2023-06-24,0,13,37,Pink
8,0.151,0.1608,0.061,2023-06-24,0,13,37,Pink
1,0.1984,0.2072,0.042,2023-06-24,0,14,37,Orange
2,0.0978,0.1163,0.16,2023-06-24,0,14,37,Orange
3,0.067,0.0797,0.16,2023-06-24,0,14,37,Orange
4,0.1281,0.132,0,2023-06-24,0,14,37,Orange
5,0.1197,0.1403,0.146,2023-06-24,0,14,37,Orange
