rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.1339,0.2737,0.511,2023-06-23,0,1,30,Pink
2,0.1315,0.2639,0.502,2023-06-23,0,1,30,Pink
3,0.1149,0.2502,0.541,2023-06-23,0,1,30,Pink
4,0.1364,0.284,0.52,2023-06-23,0,1,30,Pink
5,0.1476,0.3006,0.509,2023-06-23,0,1,30,Pink
6,0.1124,0.2248,0.5,2023-06-23,0,1,30,Pink
7,0.1466,0.3035,0.517,2023-06-23,0,1,30,Pink
8,0.1515,0.3128,0.516,2023-06-23,0,1,30,Pink
1,0.1584,0.1603,0,2023-06-23,0,10,37,Pink
2,0.0934,0.0948,0,2023-06-23,0,10,37,Pink
3,0.1134,0.1188,0.045,2023-06-23,0,10,37,Pink
4,0.1188,0.1193,0,2023-06-23,0,10,37,Pink
5,0.1725,0.1755,0,2023-06-23,0,10,37,Pink
6,0.0929,0.0992,0.064,2023-06-23,0,10,37,Pink
7,0.1476,0.1486,0,2023-06-23,0,10,37,Pink
8,0.1197,0.1183,0,2023-06-23,0,10,37,Pink
1,0.1017,0.108,0.059,2023-06-23,0,11,37,Orange
2,0.1613,0.1662,0.029,2023-06-23,0,11,37,Orange
3,0.1598,0.1632,0,2023-06-23,0,11,37,Orange
4,0.1437,0.1481,0.03,2023-06-23,0,11,37,Orange
5,0.1119,0.1173,0.046,2023-06-23,0,11,37,Orange
6,0.1007,0.1051,0.042,2023-06-23,0,11,37,Orange
7,0.1241,0.1281,0,2023-06-23,0,11,37,Orange
8,0.1481,0.154,0.038,2023-06-23,0,11,37,Orange
1,0.2209,0.2199,0,2023-06-23,0,12,37,Yellow
2,0.1935,0.1945,0,2023-06-23,0,12,37,Yellow
3,0.262,0.2688,0.025,2023-06-23,0,12,37,Yellow
4,0.1833,0.1882,0.026,2023-06-23,0,12,37,Yellow
5,0.0684,0.089,0.231,2023-06-23,0,12,37,Yellow
6,0.2268,0.2234,0,2023-06-23,0,12,37,Yellow
7,0.1173,0.1168,0,2023-06-23,0,12,37,Yellow
8,0.0748,0.0743,0,2023-06-23,0,12,37,Yellow
1,0.153,0.1701,0.101,2023-06-23,0,13,36,Pink
2,0.1486,0.1515,0,2023-06-23,0,13,36,Pink
3,0.1603,0.1667,0.038,2023-06-23,0,13,36,Pink
4,0.1564,0.1647,0.05,2023-06-23,0,13,36,Pink
5,0.1862,0.2014,0.075,2023-06-23,0,13,36,Pink
6,0.1559,0.1618,0.036,2023-06-23,0,13,36,Pink
7,0.1447,0.1471,0,2023-06-23,0,13,36,Pink
8,0.1505,0.1657,0.091,2023-06-23,0,13,36,Pink
1,0.1354,0.1447,0.064,2023-06-23,0,14,36,Orange
2,0.1569,0.1672,0.061,2023-06-23,0,14,36,Orange
3,0.1628,0.175,0.07,2023-06-23,0,14,36,Orange
4,0.1613,0.1725,0.065,2023-06-23,0,14,36,Orange
5,0.15,0.1613,0.07,2023-06-23,0,14,36,Orange
