rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.154,0.305,0.495,2023-06-30,0,1,30,Pink
2,0.1232,0.2351,0.476,2023-06-30,0,1,30,Pink
3,0.1588,0.2942,0.46,2023-06-30,0,1,30,Pink
4,0.1256,0.2253,0.443,2023-06-30,0,1,30,Pink
5,0.132,0.2278,0.421,2023-06-30,0,1,30,Pink
6,0.1349,0.2341,0.424,2023-06-30,0,1,30,Pink
7,0.2141,0.3509,0.39,2023-06-30,0,1,30,Pink
8,0.1212,0.2351,0.484,2023-06-30,0,1,30,Pink
9,0.154,0.2986,0.484,2023-06-30,0,1,30,Pink
10,0.1329,0.2532,0.475,2023-06-30,0,1,30,Pink
11,0.1505,0.2835,0.469,2023-06-30,0,1,30,Pink
12,0.1466,0.2566,0.429,2023-06-30,0,1,30,Pink
13,0.1354,0.238,0.431,2023-06-30,0,1,30,Pink
14,0.1349,0.2283,0.409,2023-06-30,0,1,30,Pink
15,0.1857,0.3206,0.421,2023-06-30,0,1,30,Pink
16,0.1369,0.2742,0.501,2023-06-30,0,1,30,Pink
1,0.1158,0.216,0.464,2023-06-30,0,10,32,UM
2,0.1427,0.2483,0.425,2023-06-30,0,10,32,UM
3,0.1549,0.261,0.406,2023-06-30,0,10,32,UM
4,0.1857,0.2942,0.369,2023-06-30,0,10,32,UM
5,0.1628,0.3001,0.458,2023-06-30,0,10,32,UM
6,0.1496,0.2703,0.447,2023-06-30,0,10,32,UM
7,0.1711,0.2937,0.418,2023-06-30,0,10,32,UM
8,0.1432,0.2713,0.472,2023-06-30,0,10,32,UM
9,0.1706,0.2742,0.378,2023-06-30,0,10,32,UM
10,0.2087,0.3402,0.386,2023-06-30,0,10,32,UM
11,0.1716,0.282,0.392,2023-06-30,0,10,32,UM
12,0.1755,0.3157,0.444,2023-06-30,0,10,32,UM
13,0.1364,0.2595,0.475,2023-06-30,0,10,32,UM
14,0.1383,0.2439,0.433,2023-06-30,0,10,32,UM
1,0.1422,0.2952,0.518,2023-06-30,0,11,32,Blue
2,0.13,0.2634,0.506,2023-06-30,0,11,32,Blue
3,0.154,0.281,0.452,2023-06-30,0,11,32,Blue
4,0.1804,0.3402,0.47,2023-06-30,0,11,32,Blue
5,0.1784,0.3309,0.461,2023-06-30,0,11,32,Blue
6,0.1593,0.3079,0.483,2023-06-30,0,11,32,Blue
7,0.1549,0.3172,0.512,2023-06-30,0,11,32,Blue
8,0.1569,0.3055,0.486,2023-06-30,0,11,32,Blue
9,0.1549,0.3201,0.516,2023-06-30,0,11,32,Blue
10,0.15,0.3021,0.503,2023-06-30,0,11,32,Blue
11,0.1804,0.3113,0.421,2023-06-30,0,11,32,Blue
12,0.1843,0.3495,0.473,2023-06-30,0,11,32,Blue
13,0.173,0.3328,0.48,2023-06-30,0,11,32,Blue
14,0.153,0.2952,0.482,2023-06-30,0,11,32,Blue
15,0.1525,0.3069,0.503,2023-06-30,0,11,32,Blue
16,0.1388,0.2674,0.481,2023-06-30,0,11,32,Blue
1,0.1457,0.2835,0.486,2023-06-30,0,12,32,Black
2,0.1388,0.2708,0.487,2023-06-30,0,12,32,Black
3,0.1535,0.2937,0.478,2023-06-30,0,12,32,Black
4,0.1413,0.261,0.459,2023-06-30,0,12,32,Black
5,0.1413,0.2444,0.422,2023-06-30,0,12,32,Black
6,0.1359,0.2566,0.47,2023-06-30,0,12,32,Black
7,0.1461,0.2942,0.503,2023-06-30,0,12,32,Black
8,0.1471,0.2889,0.491,2023-06-30,0,12,32,Black
9,0.15,0.2825,0.469,2023-06-30,0,12,32,Black
10,0.1388,0.259,0.464,2023-06-30,0,12,32,Black
11,0.1559,0.2791,0.441,2023-06-30,0,12,32,Black
12,0.1295,0.241,0.462,2023-06-30,0,12,32,Black
1,0.1535,0.1852,0.172,2023-06-30,0,13,37,Pink
2,0.1676,0.2004,0.163,2023-06-30,0,13,37,Pink
3,0.1584,0.1891,0.163,2023-06-30,0,13,37,Pink
4,0.1804,0.2082,0.134,2023-06-30,0,13,37,Pink
5,0.1931,0.2126,0.092,2023-06-30,0,13,37,Pink
6,0.1422,0.1799,0.209,2023-06-30,0,13,37,Pink
7,0.197,0.2302,0.144,2023-06-30,0,13,37,Pink
8,0.1202,0.1334,0.099,2023-06-30,0,13,37,Pink
9,0.1843,0.2146,0.141,2023-06-30,0,13,37,Pink
10,0.1716,0.2048,0.162,2023-06-30,0,13,37,Pink
11,0.1652,0.1852,0.108,2023-06-30,0,13,37,Pink
12,0.1364,0.1549,0.12,2023-06-30,0,13,37,Pink
13,0.2048,0.2258,0.093,2023-06-30,0,13,37,Pink
14,0.1466,0.1838,0.202,2023-06-30,0,13,37,Pink
15,0.196,0.2278,0.139,2023-06-30,0,13,37,Pink
16,0.1369,0.1505,0.091,2023-06-30,0,13,37,Pink
1,0.1378,0.1564,0.119,2023-06-30,0,14,37,Orange
2,0.1457,0.1828,0.203,2023-06-30,0,14,37,Orange
3,0.0875,0.1505,0.419,2023-06-30,0,14,37,Orange
4,0.1887,0.2434,0.225,2023-06-30,0,14,37,Orange
5,0.1686,0.2195,0.232,2023-06-30,0,14,37,Orange
6,0.1931,0.2346,0.177,2023-06-30,0,14,37,Orange
7,0.1525,0.1921,0.206,2023-06-30,0,14,37,Orange
8,0.1559,0.1877,0.169,2023-06-30,0,14,37,Orange
9,0.1452,0.1701,0.147,2023-06-30,0,14,37,Orange
10,0.1642,0.2053,0.2,2023-06-30,0,14,37,Orange
11,0.1022,0.173,0.41,2023-06-30,0,14,37,Orange
12,0.1632,0.2185,0.253,2023-06-30,0,14,37,Orange
13,0.1716,0.2219,0.227,2023-06-30,0,14,37,Orange
14,0.1872,0.2283,0.18,2023-06-30,0,14,37,Orange
15,0.1642,0.1999,0.178,2023-06-30,0,14,37,Orange
16,0.0997,0.1251,0.203,2023-06-30,0,14,37,Orange
1,0.132,0.153,0.137,2023-06-30,0,15,37,Yellow
2,0.1706,0.2121,0.196,2023-06-30,0,15,37,Yellow
3,0.1329,0.1725,0.229,2023-06-30,0,15,37,Yellow
4,0.1588,0.1931,0.177,2023-06-30,0,15,37,Yellow
5,0.1359,0.1549,0.123,2023-06-30,0,15,37,Yellow
6,0.1212,0.1442,0.159,2023-06-30,0,15,37,Yellow
7,0.1339,0.1696,0.21,2023-06-30,0,15,37,Yellow
8,0.1261,0.1466,0.14,2023-06-30,0,15,37,Yellow
9,0.1373,0.1593,0.138,2023-06-30,0,15,37,Yellow
10,0.1711,0.2151,0.205,2023-06-30,0,15,37,Yellow
11,0.15,0.1945,0.229,2023-06-30,0,15,37,Yellow
12,0.197,0.2317,0.15,2023-06-30,0,15,37,Yellow
13,0.13,0.1496,0.131,2023-06-30,0,15,37,Yellow
14,0.1505,0.1755,0.142,2023-06-30,0,15,37,Yellow
15,0.1579,0.196,0.195,2023-06-30,0,15,37,Yellow
16,0.151,0.1735,0.13,2023-06-30,0,15,37,Yellow
1,0.1471,0.1598,0.08,2023-06-30,0,16,37,Blue
2,0.1686,0.1799,0.063,2023-06-30,0,16,37,Blue
