rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
3,0.13,0.2434,0.466,2023-06-30,0,25,35,Orange,1
15,0.1403,0.262,0.465,2023-06-30,0,24,35,Pink,2
12,0.1085,0.2023,0.464,2023-06-30,0,25,35,Orange,3
4,0.1168,0.2155,0.458,2023-06-30,0,25,35,Orange,4
11,0.1002,0.1848,0.458,2023-06-30,0,26,35,Yellow,5
3,0.1109,0.1994,0.444,2023-06-30,0,26,35,Yellow,6
11,0.1442,0.259,0.443,2023-06-30,0,25,35,Orange,7
4,0.1197,0.2121,0.435,2023-06-30,0,29,35,Black,8
11,0.0968,0.1711,0.434,2023-06-30,0,29,35,Black,9
7,0.1554,0.2737,0.432,2023-06-30,0,24,35,Pink,10
12,0.131,0.2302,0.431,2023-06-30,0,24,35,Pink,11
2,0.1466,0.2571,0.43,2023-06-30,0,26,35,Yellow,12
4,0.13,0.2278,0.429,2023-06-30,0,24,35,Pink,13
16,0.1315,0.2297,0.428,2023-06-30,0,25,35,Orange,14
3,0.154,0.2693,0.428,2023-06-30,0,29,35,Black,15
10,0.152,0.2654,0.427,2023-06-30,0,25,35,Orange,16
1,0.1408,0.2444,0.424,2023-06-30,0,27,35,UM,17
8,0.1349,0.2336,0.423,2023-06-30,0,27,35,UM,18
10,0.1711,0.2957,0.421,2023-06-30,0,26,35,Yellow,19
5,0.1373,0.2366,0.419,2023-06-30,0,29,35,Black,20
15,0.1691,0.2903,0.418,2023-06-30,0,25,35,Orange,21
9,0.1325,0.2268,0.416,2023-06-30,0,29,35,Black,22
10,0.1212,0.2072,0.415,2023-06-30,0,29,35,Black,23
3,0.1789,0.305,0.413,2023-06-30,0,27,35,UM,24
5,0.1559,0.2649,0.411,2023-06-30,0,26,35,Yellow,25
7,0.1647,0.2786,0.409,2023-06-30,0,25,35,Orange,26
10,0.1598,0.2703,0.409,2023-06-30,0,27,35,UM,27
8,0.15,0.2537,0.408,2023-06-30,0,25,35,Orange,28
13,0.1354,0.2278,0.406,2023-06-30,0,25,35,Orange,29
12,0.1373,0.2307,0.405,2023-06-30,0,26,35,Yellow,30
1,0.1207,0.2019,0.402,2023-06-30,0,25,35,Orange,31
6,0.1114,0.1862,0.402,2023-06-30,0,26,35,Yellow,32
13,0.1598,0.2674,0.402,2023-06-30,0,26,35,Yellow,33
9,0.1564,0.261,0.401,2023-06-30,0,24,35,Pink,34
5,0.1716,0.2854,0.399,2023-06-30,0,24,35,Pink,35
14,0.1256,0.2087,0.398,2023-06-30,0,26,35,Yellow,36
13,0.1662,0.2757,0.397,2023-06-30,0,24,35,Pink,37
12,0.152,0.2512,0.395,2023-06-30,0,29,35,Black,38
4,0.1354,0.2234,0.394,2023-06-30,0,26,35,Yellow,39
2,0.1373,0.2263,0.393,2023-06-30,0,24,35,Pink,40
15,0.1373,0.2263,0.393,2023-06-30,0,26,35,Yellow,41
6,0.1579,0.26,0.393,2023-06-30,0,29,35,Black,42
5,0.2028,0.3338,0.392,2023-06-30,0,25,35,Orange,43
13,0.1364,0.2243,0.392,2023-06-30,0,27,35,UM,44
10,0.1476,0.2419,0.39,2023-06-30,0,24,35,Pink,45
1,0.1559,0.2551,0.389,2023-06-30,0,24,35,Pink,46
8,0.1535,0.2498,0.386,2023-06-30,0,24,35,Pink,47
6,0.1486,0.241,0.383,2023-06-30,0,25,35,Orange,48
14,0.154,0.2493,0.382,2023-06-30,0,25,35,Orange,49
9,0.1383,0.2234,0.381,2023-06-30,0,26,35,Yellow,50
2,0.1657,0.2678,0.381,2023-06-30,0,27,35,UM,51
14,0.1417,0.2287,0.38,2023-06-30,0,24,35,Pink,52
7,0.1466,0.2351,0.376,2023-06-30,0,26,35,Yellow,53
6,0.1632,0.261,0.375,2023-06-30,0,27,35,UM,54
1,0.1481,0.2366,0.374,2023-06-30,0,26,35,Yellow,55
2,0.1417,0.2253,0.371,2023-06-30,0,25,35,Orange,56
11,0.1642,0.2605,0.37,2023-06-30,0,27,35,UM,57
16,0.1491,0.2356,0.367,2023-06-30,0,24,35,Pink,58
9,0.1657,0.26,0.363,2023-06-30,0,27,35,UM,59
6,0.1706,0.2674,0.362,2023-06-30,0,24,35,Pink,60
4,0.1706,0.2674,0.362,2023-06-30,0,27,35,UM,61
9,0.1559,0.2424,0.357,2023-06-30,0,25,35,Orange,62
2,0.1222,0.1882,0.351,2023-06-30,0,29,35,Black,63
10,0.1237,0.1896,0.348,2023-06-30,0,28,35,Blue,64
8,0.1427,0.218,0.345,2023-06-30,0,29,35,Black,65
7,0.1696,0.2566,0.339,2023-06-30,0,28,35,Blue,66
7,0.2102,0.3172,0.337,2023-06-30,0,27,35,UM,67
5,0.1393,0.2097,0.336,2023-06-30,0,27,35,UM,68
