rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
14,0.2009,0.3011,0.333,2023-06-30,0,27,35,UM,69
15,0.1735,0.259,0.33,2023-06-30,0,28,35,Blue,70
13,0.1711,0.2522,0.322,2023-06-30,0,28,35,Blue,71
8,0.1681,0.2478,0.321,2023-06-30,0,26,35,Yellow,72
3,0.1838,0.2654,0.308,2023-06-30,0,24,35,Pink,73
11,0.1906,0.2732,0.302,2023-06-30,0,24,35,Pink,74
16,0.176,0.2512,0.3,2023-06-30,0,26,35,Yellow,75
1,0.1476,0.2102,0.298,2023-06-30,0,29,35,Black,76
7,0.1637,0.2326,0.296,2023-06-30,0,29,35,Black,77
8,0.1632,0.2317,0.295,2023-06-30,0,28,35,Blue,78
5,0.1891,0.2664,0.29,2023-06-30,0,28,35,Blue,79
2,0.1696,0.2375,0.286,2023-06-30,0,28,35,Blue,80
1,0.1437,0.2009,0.285,2023-06-30,0,28,35,Blue,81
16,0.1564,0.218,0.283,2023-06-30,0,28,35,Blue,82
6,0.152,0.2107,0.278,2023-06-30,0,28,35,Blue,83
14,0.1383,0.1916,0.278,2023-06-30,0,28,35,Blue,84
9,0.1647,0.2268,0.274,2023-06-30,0,28,35,Blue,85
12,0.1799,0.2468,0.271,2023-06-30,0,27,35,UM,86
3,0.1564,0.2111,0.259,2023-06-30,0,28,35,Blue,87
4,0.1965,0.2551,0.23,2023-06-30,0,28,35,Blue,88
12,0.1906,0.2473,0.229,2023-06-30,0,28,35,Blue,89
11,0.195,0.2356,0.172,2023-06-30,0,28,35,Blue,90
