rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
6,0.1564,0.2424,0.355,2023-06-23,0,17,35,Orange,1
5,0.1403,0.2165,0.352,2023-06-23,0,16,35,Pink,2
5,0.1593,0.2424,0.343,2023-06-23,0,17,35,Orange,3
2,0.1217,0.1774,0.314,2023-06-23,0,18,35,Yellow,4
3,0.1413,0.2023,0.302,2023-06-23,0,16,35,Pink,5
1,0.1246,0.1764,0.294,2023-06-23,0,18,35,Yellow,6
6,0.1334,0.1784,0.252,2023-06-23,0,16,35,Pink,7
3,0.1593,0.2131,0.252,2023-06-23,0,17,35,Orange,8
1,0.1447,0.1926,0.249,2023-06-23,0,16,35,Pink,9
4,0.1794,0.2336,0.232,2023-06-23,0,17,35,Orange,10
8,0.1349,0.1755,0.231,2023-06-23,0,16,35,Pink,11
8,0.1452,0.1882,0.229,2023-06-23,0,18,35,Yellow,12
6,0.1544,0.197,0.216,2023-06-23,0,18,35,Yellow,13
8,0.1266,0.1579,0.198,2023-06-23,0,17,35,Orange,14
4,0.1608,0.2004,0.198,2023-06-23,0,18,35,Yellow,15
2,0.1339,0.1662,0.194,2023-06-23,0,16,35,Pink,16
4,0.1339,0.1657,0.192,2023-06-23,0,16,35,Pink,17
7,0.108,0.1329,0.188,2023-06-23,0,18,35,Yellow,18
3,0.1437,0.1745,0.176,2023-06-23,0,18,35,Yellow,19
7,0.1373,0.1652,0.169,2023-06-23,0,17,35,Orange,20
5,0.1295,0.1559,0.169,2023-06-23,0,18,35,Yellow,21
2,0.1437,0.1701,0.155,2023-06-23,0,17,35,Orange,22
7,0.1422,0.1632,0.129,2023-06-23,0,16,35,Pink,23
1,0.131,0.1437,0.088,2023-06-23,0,17,35,Orange,24
