rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.1329,0.2835,0.531,2023-06-27,0,1,30,Pink
2,0.1188,0.2542,0.533,2023-06-27,0,1,30,Pink
3,0.1256,0.2576,0.512,2023-06-27,0,1,30,Pink
4,0.1344,0.2688,0.5,2023-06-27,0,1,30,Pink
5,0.1246,0.2292,0.456,2023-06-27,0,1,30,Pink
6,0.1295,0.2781,0.534,2023-06-27,0,1,30,Pink
7,0.1315,0.2864,0.541,2023-06-27,0,1,30,Pink
8,0.1134,0.2522,0.55,2023-06-27,0,1,30,Pink
1,0.067,0.0738,0.093,2023-06-27,0,10,38,Orange
2,0.176,0.2346,0.25,2023-06-27,0,10,38,Orange
3,0.0797,0.0924,0.138,2023-06-27,0,10,38,Orange
4,0.0929,0.1007,0.078,2023-06-27,0,10,38,Orange
5,0.0929,0.1251,0.258,2023-06-27,0,10,38,Orange
6,0.1681,0.2224,0.244,2023-06-27,0,10,38,Orange
7,0.2317,0.2903,0.202,2023-06-27,0,10,38,Orange
8,0.0376,0.042,0.105,2023-06-27,0,10,38,Orange
1,0.0269,0.0288,0,2023-06-27,0,11,38,Yellow
2,0.2307,0.3798,0.393,2023-06-27,0,11,38,Yellow
3,0.0772,0.086,0.102,2023-06-27,0,11,38,Yellow
4,0.0767,0.0816,0.06,2023-06-27,0,11,38,Yellow
5,0.2019,0.2136,0.055,2023-06-27,0,11,38,Yellow
6,0.2991,0.3133,0.045,2023-06-27,0,11,38,Yellow
7,0.4091,0.4423,0.075,2023-06-27,0,11,38,Yellow
1,0.1369,0.1784,0.233,2023-06-27,0,12,38,Blue
2,0.1105,0.1188,0.07,2023-06-27,0,12,38,Blue
3,0.0841,0.089,0.055,2023-06-27,0,12,38,Blue
4,0.0591,0.0621,0,2023-06-27,0,12,38,Blue
5,0.085,0.0909,0.065,2023-06-27,0,12,38,Blue
6,0.0308,0.0327,0,2023-06-27,0,12,38,Blue
7,0.0694,0.0973,0.286,2023-06-27,0,12,38,Blue
1,0.0958,0.1041,0.08,2023-06-27,0,13,37,Pink
2,0.1344,0.1398,0.038,2023-06-27,0,13,37,Pink
3,0.1129,0.1212,0.069,2023-06-27,0,13,37,Pink
4,0.1662,0.1755,0.053,2023-06-27,0,13,37,Pink
5,0.1271,0.1364,0.068,2023-06-27,0,13,37,Pink
6,0.1261,0.1344,0.062,2023-06-27,0,13,37,Pink
7,0.1139,0.1227,0.072,2023-06-27,0,13,37,Pink
