Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;
20.06.23;21:42:47;1;0;0.0029;0.0024;0.0020;0.0034;0.0029;0.0024;0.0034;0.0020;0.0024;0.0024;0.0020;0.1007;0.0029;0.0024;0.0059;0.0020;0.0029;0.0044;0.0034;0.0064;0.0034;0.0039;0.0059;0.0029;0.0044;0.0024;0.0034;0.2571;0.0044;0.0044;0.0064;0.0034;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.608;0.000;0.000;0.000;0.000;
20.06.23;21:43:03;2;0;0.0020;0.0024;0.0015;0.0029;0.0020;0.0020;0.0034;0.0015;0.0015;0.0024;0.0015;0.1075;0.0029;0.0020;0.0064;0.0020;0.0044;0.0034;0.0034;0.0054;0.0029;0.0039;0.0054;0.0024;0.0039;0.0029;0.0034;0.2571;0.0049;0.0044;0.0068;0.0024;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.582;0.000;0.000;0.000;0.000;
20.06.23;21:52:04;3;0;0.1730;0.1398;0.1931;0.1276;0.2087;0.0870;0.2566;0.1065;0.0513;0.0523;0.0753;0.0611;0.2033;0.0435;0.2669;0.0440;0.1750;0.1466;0.1994;0.1276;0.2121;0.0870;0.2561;0.1065;0.0528;0.0538;0.0787;0.0596;0.2058;0.0420;0.2659;0.0440;0.000;0.047;0.032;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
