dateCBASS,CBASSrun,uniquePosition,site,fieldTag,Temp,rack.col,rack.position,F,Fm,Y
2023-06-20T00:00:00Z,1,Run1.B3,C1443,B24,38,Blue,3,0.0909,0.0934,0
2023-06-20T00:00:00Z,1,Run1.B4,M1227,B5,38,Blue,4,0.1413,0.1432,0
2023-06-20T00:00:00Z,1,Run1.B5,C1441,B3,38,Blue,5,0.2644,0.2747,0.037
2023-06-20T00:00:00Z,1,Run1.B6,C1441,B7,38,Blue,6,0.1134,0.1129,0
2023-06-20T00:00:00Z,1,Run1.B1,M1227,B1,32,Blue,1,0.1471,0.2854,0.485
2023-06-20T00:00:00Z,1,Run1.B2,M1227,B2,32,Blue,2,0.1369,0.2639,0.481
2023-06-20T00:00:00Z,1,Run1.B3,C1443,B24,32,Blue,3,0.1457,0.3025,0.519
2023-06-20T00:00:00Z,1,Run1.B4,M1227,B5,32,Blue,4,0.1491,0.283,0.473
2023-06-20T00:00:00Z,1,Run1.B5,C1441,B3,32,Blue,5,0.1515,0.3001,0.495
2023-06-20T00:00:00Z,1,Run1.B6,C1441,B7,32,Blue,6,0.1344,0.2698,0.502
2023-06-20T00:00:00Z,1,Run1.P1,C1450,B10,32,Pink,1,0.131,0.2473,0.47
2023-06-20T00:00:00Z,1,Run1.P2,C1443,B21,32,Pink,2,0.1388,0.2717,0.489
2023-06-20T00:00:00Z,1,Run1.P3,C1443,B25,32,Pink,3,0.1251,0.2424,0.484
2023-06-20T00:00:00Z,1,Run1.P4,C1443,B26,32,Pink,4,0.1315,0.263,0.5
2023-06-20T00:00:00Z,1,Run1.P5,C1443,B23,32,Pink,5,0.131,0.2654,0.506
2023-06-20T00:00:00Z,1,Run1.P6,C1441,B8,32,Pink,6,0.1515,0.2796,0.458
2023-06-20T00:00:00Z,1,Run1.P7,M1227,B4,32,Pink,7,0.132,0.238,0.446
2023-06-20T00:00:00Z,1,Run1.P8,C1441,B9,32,Pink,8,0.1603,0.3035,0.472
2023-06-20T00:00:00Z,1,Run1.O1,V2526,B29,30,Orange,1,0.1256,0.2546,0.507
2023-06-20T00:00:00Z,1,Run1.O2,V2526,B30,30,Orange,2,0.1496,0.2898,0.484
2023-06-20T00:00:00Z,1,Run1.O3,V2526,B27,30,Orange,3,0.1339,0.2786,0.519
2023-06-20T00:00:00Z,1,Run1.O4,V2526,B28,30,Orange,4,0.1364,0.262,0.479
