RT.site,site.plot,fieldTag,row,column,position,tag
SW,SW_East,B133,3,E,E3,Blue69
SW,SW_East,B68,3,F,F3,Blue70
SW,SW_East,B137,3,G,G3,Blue71
SW,SW_East,B61,3,H,H3,Blue72
SW,SW_East,B173,4,A,A4,Blue177
SW,SW_East,B20,4,B,B4,Blue178
SW,SW_East,B85,4,C,C4,Blue179
SW,SW_East,B197,4,D,D4,Blue180
SW,SW_East,B90,5,A,A5,Blue137
SW,SW_East,B135,5,B,B5,Blue138
SW,SW_East,B42,5,C,C5,Blue139
SW,SW_East,B132,5,D,D5,Blue140
SW,SW_East,B170,5,E,E5,Blue141
SW,SW_East,B50,5,F,F5,Blue142
SW,SW_East,B86,5,G,G5,Blue143
SW,SW_East,B134,5,H,H5,Blue145
SW,SW_East,B138,6,A,A6,Blue113
SW,SW_East,Y87,6,B,B6,Blue114
SW,SW_East,B81,6,C,C6,Blue115
SW,SW_East,B188,6,D,D6,Blue116
SW,SW_East,B150,6,E,E6,Blue117
SW,SW_East,B177,6,F,F6,Blue118
SW,SW_East,B171,6,G,G6,Blue119
SW,SW_East,B106,6,H,H6,Blue120
SW,SW_East,B83,7,A,A7,Blue10
SW,SW_East,B199,7,B,B7,Blue11
SW,SW_East,B176,7,C,C7,Blue12
SW,SW_East,B131,7,D,D7,Blue13
SW,SW_East,B166,7,E,E7,Blue14
SW,SW_East,B169,7,F,F7,Blue15
SW,SW_East,B120,7,G,G7,Blue16
SW,SW_East,B88,8,A,A8,Blue161
SW,SW_East,B163,8,B,B8,Blue162
SW,SW_East,B82,8,C,C8,Blue163
SW,SW_East,B164,8,D,D8,Blue164
SW,SW_East,B140,8,E,E8,Blue165
SW,SW_East,B167,8,F,F8,Blue166
SW,SW_East,B183,8,G,G8,Blue167
SW,SW_East,Y80,8,H,H8,Blue168
SW,SW_North,B173,1,A,A1,Blue169
SW,SW_North,B20,1,B,B1,Blue170
SW,SW_North,B85,1,C,C1,Blue171
SW,SW_North,B197,1,D,D1,Blue172
SW,SW_North,B83,2,A,A2,Blue1
SW,SW_North,B199,2,B,B2,Blue2
SW,SW_North,B176,2,C,C2,Blue3
SW,SW_North,B131,2,D,D2,Blue4
SW,SW_North,B166,2,E,E2,Blue5
SW,SW_North,B169,2,F,F2,Blue6
SW,SW_North,B120,2,G,G2,Blue7
SW,SW_North,B70,2,H,H2,Blue8
SW,SW_North,B196,3,A,A3,Blue25
SW,SW_North,B168,3,B,B3,Blue26
SW,SW_North,B87,3,C,C3,Blue27
SW,SW_North,B41,3,D,D3,Blue28
SW,SW_North,B84,3,E,E3,Blue29
SW,SW_North,B67,3,F,F3,Blue30
SW,SW_North,B65,3,G,G3,Blue31
SW,SW_North,B89,3,H,H3,Blue32
SW,SW_North,B90,4,A,A4,Blue121
SW,SW_North,B135,4,B,B4,Blue122
SW,SW_North,B42,4,C,C4,Blue123
SW,SW_North,B132,4,D,D4,Blue124
SW,SW_North,B170,4,E,E4,Blue125
SW,SW_North,B50,4,F,F4,Blue126
