fieldTag,ed50,std.error,date
B29,34.653177687514884,0.1384034737815846,2023-06-20
B30,35.05462738715386,0.1453391942716979,2023-06-20
B27,34.90297447943492,0.1374968617930361,2023-06-20
B28,34.99865649540542,0.22032423955929406,2023-06-20
B11,35.512317373090234,0.13475857562918372,2023-06-20
B6,35.29776180856187,0.07253085432753939,2023-06-20
B12,34.744835163052876,0.08944335069508022,2023-06-20
B22,35.21190539926674,0.13158314134093516,2023-06-20
B10,35.388318576493106,0.11688671377458773,2023-06-20
B21,35.105766265363606,0.14485704083673376,2023-06-20
B25,35.03101984663934,0.0957048652591421,2023-06-20
B26,35.020357823738124,0.06751389217164863,2023-06-20
B23,35.22658148278043,0.07043682290519386,2023-06-20
B8,35.06699929684917,0.06690039257733052,2023-06-20
B4,34.93870691832327,0.11869155326546696,2023-06-20
B9,35.27521716894374,0.25534065261598105,2023-06-20
B1,35.221680199097385,0.07557873527580951,2023-06-20
B2,35.2266995001428,0.1358958883420239,2023-06-20
B24,35.080276980993936,0.07921680820196629,2023-06-20
B5,35.08745884530002,0.14328019270390474,2023-06-20
B3,34.83034899686993,0.1609198902855028,2023-06-20
B7,34.60229864603497,0.14234999957221361,2023-06-20
B16,35.68525256577227,0.1336260583141212,2023-06-21
B39,34.801132212647865,0.1767173769555746,2023-06-21
B46,34.76016866177019,0.4571090766814835,2023-06-21
B13,34.555169995445645,0.19053749552222257,2023-06-21
B48,34.55110708209404,0.15526393793221085,2023-06-21
B14,34.49546277224015,0.1951425724695739,2023-06-21
B45,34.70141002859795,0.1822332229667391,2023-06-21
B49,35.13388925476955,0.0667656978128891,2023-06-21
B33,34.93747907339828,0.1264292083669146,2023-06-21
B40,34.85242328495307,0.2791376264970738,2023-06-21
B34,33.90601526923521,0.24260743804617585,2023-06-21
B37,33.89054889674228,0.1494073364934603,2023-06-21
B35,34.75660303121182,0.288502697500319,2023-06-21
B32,34.48081830276015,0.1219835998655038,2023-06-21
B69,34.35894963183276,0.25549702079229675,2023-06-21
B79,34.1315366362872,0.12007638658215047,2023-06-21
B15,35.746738136878996,0.13898197316310748,2023-06-21
B44,34.60752541247501,0.044574882943693536,2023-06-21
B36,34.45404582829741,0.0907970373610161,2023-06-21
B47,34.47420475325297,0.2858834734256427,2023-06-21
B31,33.94432742314765,0.10277734627856823,2023-06-21
B74,35.87861682114834,0.149984740230417,2023-06-21
B72,35.36072287082144,0.12192189441890854,2023-06-21
B66,34.6297245552442,0.16131704359854285,2023-06-21
B64,35.12341429387679,0.03522840786074795,2023-06-21
B62,34.35008047389325,0.25891960379246387,2023-06-21
B76,35.102527456854006,0.16424366601773774,2023-06-21
B80,35.72762899171399,0.06687382285141806,2023-06-21
B75,35.842779437853835,0.08373661831279926,2023-06-21
B73,35.76791309613438,0.11611572518296986,2023-06-21
B54,34.291596987682816,0.17580159496175068,2023-06-22
B71,34.18706578673999,0.150394730490653,2023-06-22
B124,35.07659399920929,0.20461193152428991,2023-06-22
B128,34.840928864195895,0.4597485102731949,2023-06-22
B53,34.432612425727655,0.3419164731583953,2023-06-22
B52,34.604269278959976,0.21455914716758603,2023-06-22
B101,34.64298865007746,0.2030734996111287,2023-06-22
B105,34.552954705684485,0.26620401160520707,2023-06-22
B38,34.525570264877985,0.13344612100887016,2023-06-22
B127,35.404270029237054,0.1179604974107018,2023-06-22
B125,35.416796564079405,0.06323370404974829,2023-06-22
B146,34.87614793243875,0.14046086760188276,2023-06-22
B141,34.876399652907985,0.10666406206722975,2023-06-22
B104,35.00978273569295,0.23373403528865447,2023-06-22
B56,35.648707415337725,0.051777076359001466,2023-06-22
B103,34.982835527316,0.2468811487688267,2023-06-22
B92,34.72885740350228,0.2200831174648531,2023-06-22
B148,35.43922918429701,0.14334543728482976,2023-06-22
B147,35.42448206732335,0.11839297372089895,2023-06-22
B143,35.616446919113926,0.06593033760548304,2023-06-22
B102,35.102503647697944,0.1396813592018105,2023-06-22
B51,34.933380846349394,0.11858777389727546,2023-06-22
B78,35.207718685331685,0.4447758023255387,2023-06-22
B93,35.30563229341685,0.44110810284725277,2023-06-22
B149,35.280431358012066,0.18050781021326376,2023-06-22
B91,34.946868281945804,0.2531073724383967,2023-06-22
B145,35.18629481259757,0.11611764043307046,2023-06-22
B144,34.77035851235986,0.04624661515803381,2023-06-22
B142,35.35886999776719,0.19423490897042367,2023-06-22
B55,35.22848476588068,0.4939264196095833,2023-06-22
B57,34.99469826449844,0.09462319892244667,2023-06-22
B77,34.978343089132636,0.226629520003215,2023-06-22
B121,35.17253587696611,0.15841807106972958,2023-06-22
B130,34.34767026628969,0.29192453599734425,2023-06-22
B123,35.36439677423145,0.12371565859158278,2023-06-22
B126,35.02502671457667,0.19720239307231882,2023-06-22
B122,34.94860049204577,0.13225932322313705,2023-06-22
